_id,id,title,mainSummary,summary,body,sourceUrl,rumorType,crawlTime
5e58e1c830c73361a9ec21f1,178,确诊者家中的狗检测呈弱阳性？,香港食卫局长陈肇始强调：虽查到弱阳性，但无证据显示狗会传播新冠病毒给人,,"据香港文汇网报道，香港渔护署发现一名新冠肺炎确诊患者饲养的宠物狗对病毒测试呈弱阳性反应。香港食物及卫生局长陈肇始28日强调，无证据显示狗会传播新冠病毒给人。她呼吁养宠物的市民注意个人卫生。

陈肇始表示，这只狗会接受兽医的医学监察，并抽取样本化验，待测试结果呈阴性才会发还。",,1,2020-02-28 17:47:50.764
5e58e1c830c73361a9ec21f2,179,新冠病毒传播途径有变化？,科技部社会发展科技司司长吴远彬：目前研究结论显示，呼吸道飞沫和密切接触传播仍然是主要传播途径,,28日，科技部社会发展科技司司长吴远彬表示，目前研究结论显示，呼吸道飞沫和密切接触传播仍然是主要传播途径。粪口传播有一定风险，但传播能力和条件还需进一步相应研究证实。针对气溶胶传播，中国医科院实验动物所开展相应实验，气溶胶传播要同时满足密闭的空间、较长的时间、高浓度病毒三个条件，在这些条件下才有传染的可能性。通风条件良好的日常生活中气溶胶传播可能性小。,,0,2020-02-28 17:47:50.764
5e58e1c830c73361a9ec21f3,177,十三名男女生感染 sk5 病毒？,丁香医生团队查证：该谣言系 2018 年的旧谣言，造谣者已被查处,,近日，部分网民转发「乐陵十三人染sk5病毒，参与抢救的医生已被隔离」的信息，其实，该谣言早在2018年就已经存在，且造谣者被依法查处。此次经乐陵市公安局侦查，确认该谣言在当前时期的首次转发者为董某玲（庆云县居住）。2020年2月27日，董某玲因散布谣言扰乱公共秩序，已被公安机关依法处以行政拘留。,,0,2020-02-28 17:47:50.764
5e58e1c830c73361a9ec21f4,173,十年前就有人预测疫情？,上海图书馆查证：没有找到传闻里提到的这本书，同名文章也没有相关内容,,"网传「陈国生写的一本叫《实证化中医基础理论及运用》的书在十年前预言了这次肺炎疫情」。上海图书馆进行了查证，没有检索到这本书。
在万方数据库里，可以查得陈国生所写《实证化中医基础理论依据及应用》这篇文章，发表在《2011年全国天灾预测研讨学术会议论文集》中，题名和网传有一字之差，但能够对上年份和会议名称。但并未发现涉及任何与疫情预测相关的内容。",,0,2020-02-28 17:47:50.764
5e58e1c830c73361a9ec21f5,14,戴多层口罩才能防住病毒?,丁香医生团队辟谣：佩戴多层口罩可能造成呼吸不畅,,"不需要佩戴多层口罩。建议选择N95/KN95或普通外科口罩，并且一层就够，其他口罩防护效果不如这三种。佩戴多层口罩还可能造成呼吸不畅。
",,0,2020-02-28 17:47:50.764
5e58e1c830c73361a9ec21f6,4,家畜家禽海鲜都不能吃了？,丁香医生团队辟谣：正规家畜家禽海鲜都能吃,,此次新型冠状病毒来源是非法销售的野生动物，目前未明确中间宿主。但正规渠道售卖的各类肉制品仍可食用。,,0,2020-02-28 17:47:50.764
5e58e1c830c73361a9ec21f7,53,多喝单枞茶多吃草莓可防肺炎？,经查证：系编造,,网络上流传2张截图，配文分别称「钟南山发布多喝单枞茶对防止肺炎有重大效果」「国家卫生局发布多吃草莓对防止肺炎有重大效果」。这2张截图都是假的。钟南山院士曾就肺炎疫情接受过媒体采访，并没有提到过前述的信息。目前我国并没有「国家卫生局」这个机构，只有国家卫健委。国家卫健委也并没发布过前述的信息。,,0,2020-02-28 17:47:50.764
5e58e1c830c73361a9ec21f8,110,新冠病毒可以通过蚊虫叮咬传播？,丁香医生团队辟谣：目前没有证据,,《新型冠状病毒感染的肺炎诊疗方案（试行第五版）》指出「经呼吸道飞沫和接触传播是主要的传播途径。气溶胶和消化道等传播途径尚待明确」并没有提到虫媒传播（蚊虫叮咬传播）。,,0,2020-02-28 17:47:50.764
5e58e1c830c73361a9ec21f9,175,新冠肺炎疫苗已研制成功？,天津大学：疫苗初步成型，但距离上市尚早,,2月25日有媒体报道，天津大学生命科学学院黄金海教授团队「取得重大突破，新冠疫苗已经研制成功」。实际上，目前天津大学的研究还是一个初步结果，目前的阶段是完成了疫苗设计，但没有动物实验及其它的必要数据，安全性、有效性都没有验证过，远远谈不上是「研制成功」。,,0,2020-02-28 17:47:50.764
5e58e1c830c73361a9ec21fa,176,新冠病毒尚未发生明显变异？,中国-世界卫生组织新冠肺炎联合专家考察组：病毒尚未发生明显变异,,中国-世界卫生组织新冠肺炎联合专家考察组24日在北京举行发布会。考察组中方组长梁万年：通过对不同地点分离出的104株新冠病毒株进行全基因组测序，证实同源性达99.9%，提示病毒尚未发生明显变异。,,1,2020-02-28 17:47:50.764
